ID,Épica,Historia,Como,Quiero,Para,Prioridad,Sprint,Criterios de Aceptación,Estado,Review,Responsable,Observaciones
HU65,EP09,Ordenar por nombre descendente,Apoderado,Ordenar el listado de productos por nombre de la Z a la A,Ubicar los productos alfabéticamente en orden inverso,Media,Sprint 04,"CA1: Dado el listado de productos, cuando el usuario abre el selector de orden, entonces dispone de la opción nombre Z-A. CA2: Dado la opción nombre Z-A seleccionada, cuando se aplica, entonces el listado se reordena alfabéticamente de la Z a la A. CA3: Dado un criterio de orden aplicado, cuando el usuario aplica o quita un filtro, entonces el orden elegido se mantiene. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU66,EP09,Conservar los filtros al navegar,Apoderado,Conservar filtros y búsqueda al entrar al detalle y volver,No repetir la búsqueda cada vez que reviso un producto,Media,Sprint 04,"CA1: Dado filtros y búsqueda activos, cuando se aplican, entonces se guardan en LocalStorage. CA2: Dado un usuario que entra al detalle de un producto, cuando vuelve al listado, entonces conserva los filtros, el orden y la posición previos. CA3: Dado filtros guardados, cuando el usuario selecciona ver el catálogo completo, entonces los filtros se descartan. CA4: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU67,EP09,Visualizar el mensaje de búsqueda sin resultados,Apoderado,Entender por qué una búsqueda no devuelve productos,Saber qué filtro ajustar para encontrar lo que busco,Media,Sprint 04,"CA1: Dado una búsqueda o filtro sin coincidencias, cuando se carga el listado, entonces el sistema muestra un mensaje indicando el término buscado y los filtros activos. CA2: Dado un resultado vacío, cuando se muestra el mensaje, entonces se ofrece quitar el filtro más restrictivo o limpiar todos. CA3: Dado un producto que no existe en el catálogo, cuando se busca, entonces el mensaje lo distingue del caso de un producto que existe pero está agotado. CA4: Dado un resultado vacío, cuando se carga la vista, entonces no se muestra una tabla vacía sin explicación. CA5: Dado un visitante sin sesión, cuando intenta acceder al catálogo, entonces el sistema lo redirige al login.",Pendiente,Pendiente,Pamela Acuña,pages/apoderado/productos.html y pages/apoderado/reservar-materiales.html. Sprint 4.
HU82,EP07,Migrar la tienda a proyecto React con estructura tipada,Equipo de desarrollo,Transformar el sitio HTML en una SPA React con TypeScript,Contar con la base del proyecto E2,Alta,Sprint 05,"CA1: Dado el proyecto HTML de E1, cuando se inicia E2, entonces existe un proyecto React con las carpetas pages, components, models y services. CA2: Dado el proyecto React, cuando se revisa, entonces existe al menos un modelo TypeScript por entidad del dominio. CA3: Dado la estructura creada, cuando se revisa, entonces la primera vista está migrada y ejecuta sin errores en el navegador.",Pendiente,Pendiente,Equipo E2,Entregable del Sprint 5 según planificación del profesor.
HU83,EP07,Construir componentes reutilizables tipados,Equipo de desarrollo,Extraer componentes reutilizables con props tipadas,Evitar duplicación de código en la SPA,Alta,Sprint 06,"CA1: Dado el proyecto React, cuando se revisa la carpeta components, entonces existen al menos ProductCard, ProductList y Navbar como componentes independientes. CA2: Dado cada componente, cuando se revisa su código, entonces sus props están tipadas con interfaces de TypeScript. CA3: Dado la vista de catálogo, cuando se carga, entonces usa ProductList y ProductCard en lugar de HTML duplicado. CA4: Dado cada componente, cuando se revisa, entonces es responsive con Bootstrap integrado.",Pendiente,Pendiente,Equipo E2,Entregable del Sprint 6.
HU19,EP03,Agregar un producto al carrito,Apoderado,Agregar un producto al carrito,Reunir los artículos que deseo adquirir,Alta,Sprint 07,"CA1: Dado un producto disponible, cuando el apoderado selecciona agregar al carrito, entonces el producto se incorpora con cantidad inicial uno. CA2: Dado un producto ya presente en el carrito, cuando el apoderado lo agrega nuevamente, entonces el sistema incrementa su cantidad en lugar de crear una segunda línea. CA3: Dado un producto agregado, cuando se actualiza el carrito, entonces este muestra su nombre, precio y cantidad. CA4: Dado un producto agregado, cuando se actualiza el carrito, entonces el contador visible refleja la cantidad total de artículos.",Pendiente,Pendiente,Pamela Acuña,"Migra a E2 (Sprint 7, carrito TypeScript).
"
HU20,EP03,Modificar la cantidad de un producto del carrito,Apoderado,Modificar la cantidad de un producto del carrito,Ajustar la compra a lo que realmente necesito,Alta,Sprint 07,"CA1: Dado un producto existente en el carrito, cuando el apoderado aumenta o disminuye su cantidad a un valor válido, entonces el subtotal de la línea se recalcula. CA2: Dado un cambio de cantidad válido, cuando se aplica, entonces el total del carrito se recalcula automáticamente. CA3: Dado un producto en el carrito, cuando el apoderado intenta fijar una cantidad menor a uno o no numérica, entonces el sistema rechaza el cambio y mantiene el valor anterior.",Pendiente,Pendiente,Pamela Acuña,"Migra a E2 (Sprint 7, carrito TypeScript).
"
HU21,EP03,Eliminar un producto del carrito,Apoderado,Eliminar un producto del carrito,Retirar artículos que ya no deseo adquirir,Alta,Sprint 07,"CA1: Dado un producto existente en el carrito, cuando el apoderado selecciona eliminar, entonces el producto deja de aparecer en el listado. CA2: Dado un producto eliminado, cuando se actualiza el carrito, entonces el total y el contador se recalculan. CA3: Dado que se elimina el último producto, cuando el carrito queda sin líneas, entonces el sistema informa explícitamente que está vacío y ofrece volver al catálogo.",Pendiente,Pendiente,Pamela Acuña,"Migra a E2 (Sprint 7, carrito TypeScript).
"
HU22,EP03,Conservar el carrito mediante LocalStorage,Apoderado,Conservar el contenido del carrito entre páginas y recargas,No perder mi selección durante la navegación,Alta,Sprint 07,"CA1: Dado un producto agregado o modificado, cuando se confirma la acción, entonces el contenido del carrito se guarda en LocalStorage. CA2: Dado un carrito con productos, cuando el apoderado recarga la página, entonces el carrito se recupera con el mismo contenido. CA3: Dado un carrito con productos, cuando el apoderado navega entre catálogo y detalle, entonces el contenido se mantiene. CA4: Dado un producto eliminado del carrito, cuando se confirma la eliminación, entonces LocalStorage se actualiza y el producto no reaparece al recargar.",Pendiente,Pendiente,Pamela Acuña,"Migra a E2 (Sprint 7, carrito TypeScript).
"
HU70,EP10,Consultar el saldo de un pupilo,Apoderado,Consultar el saldo disponible de un pupilo,Conocer los fondos disponibles para materiales escolares,Alta,Sprint 08,"CA1: Dado un apoderado autenticado con pupilos asociados, cuando consulta la información de uno, entonces el sistema muestra su saldo disponible. CA2: Dado un apoderado, cuando consulta saldos, entonces solo visualiza los de pupilos vinculados a él. CA3: Dado un pupilo con aportes pendientes de confirmación por la pasarela, cuando se muestra su saldo, entonces esos aportes no están incluidos y se informan por separado. CA4: Dado un apoderado autenticado, cuando se envía una petición a un endpoint con el ID de un pupilo no vinculado, entonces el servidor responde con HTTP 403.",Pendiente,Pendiente,Florencia Soto,Detalle dentro de pages/apoderado/mis-hijos.html. Migra a E2 (Sprint 8).
HU71,EP10,Consultar los movimientos de un pupilo,Apoderado,Consultar el detalle de movimientos de un pupilo,Tener transparencia sobre los aportes realizados y los materiales retirados,Alta,Sprint 08,"CA1: Dado un apoderado autenticado con un pupilo asociado, cuando consulta sus movimientos, entonces visualiza fecha, tipo, detalle y monto de cada uno. CA2: Dado un listado de movimientos, cuando se carga, entonces aparecen ordenados cronológicamente y muestran el saldo resultante de cada operación. CA3: Dado un apoderado, cuando consulta movimientos, entonces solo visualiza los de pupilos vinculados a él. CA4: Dado un pupilo sin movimientos, cuando se consulta su cartola, entonces el sistema informa el estado vacío.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/movimientos.html. Migra a E2 (Sprint 8).
HU72,EP10,Visualizar mis pupilos vinculados,Apoderado,Visualizar la lista de mis pupilos vinculados,Elegir a quién asignar aportes o consultar saldo,Alta,Sprint 08,"CA1: Dado un apoderado autenticado, cuando accede a la vista de mis pupilos, entonces visualiza una tarjeta por cada pupilo vinculado con nombre completo, curso y RUT enmascarado. CA2: Dado el listado de pupilos, cuando se carga, entonces solo aparecen los pupilos cuyo apoderado_rut coincide con el del apoderado autenticado. CA3: Dado un pupilo del listado, cuando el apoderado lo selecciona, entonces puede acceder a su saldo y sus movimientos. CA4: Dado un apoderado sin pupilos vinculados, cuando accede a la vista, entonces el sistema informa el estado vacío y sugiere contactar al centro.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/mis-hijos.html. Migra a E2 (Sprint 8).
HU75,EP10,Acceder al home de apoderado,Apoderado,Acceder al home del área de apoderado,Ver un resumen de mis pupilos y saldos desde un lugar central,Alta,Sprint 08,"CA1: Dado un apoderado autenticado, cuando ingresa al área de apoderado, entonces visualiza la vista Home con un menú visible de forma permanente. CA2: Dado la vista Home de apoderado, cuando se carga, entonces muestra un resumen con el saldo consolidado de sus pupilos vinculados. CA3: Dado la vista Home de apoderado, cuando se carga, entonces el menú permite navegar a mis-hijos, aportar-saldo, mis-aportes, movimientos, mis-reservas y reservar-materiales. CA4: Dado un apoderado sin pupilos vinculados, cuando ingresa al home, entonces el sistema informa el estado vacío y sugiere contactar al centro.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/inicio.html. Migra a E2 (Sprint 8).
HU84,EP07,Verificar los comportamientos críticos del frontend,Equipo de desarrollo,Escribir el primer conjunto de pruebas derivadas de HUs y criterios de aceptación,"Asegurar que carrito formularios y componentes funcionan como se especificó
",Alta,Sprint 09,"CA1: Dado el proyecto React, cuando se revisa la carpeta de tests, entonces existen pruebas para carrito, formularios y componentes. CA2: Dado cada test, cuando se revisa, entonces está trazado a una HU y su criterio de aceptación. CA3: Dado el conjunto de tests, cuando se ejecutan, entonces cubren casos positivos y negativos. CA4: Dado un test que falla, cuando se revisa el log, entonces el error indica qué criterio no se cumple.",Pendiente,Pendiente,Equipo E2,Entregable del Sprint 9. Vitest + React Testing Library.
HU85,EP07,Consolidar el proceso de testing,Equipo de desarrollo,Alcanzar 10 pruebas significativas con mocks y coverage,Asegurar la calidad del frontend antes de integrar el backend,Alta,Sprint 10,"CA1: Dado el proyecto React, cuando se ejecuta la suite, entonces existen al menos 10 pruebas significativas. CA2: Dado una prueba que requiere datos, cuando se ejecuta, entonces usa mocks en lugar de llamadas reales. CA3: Dado el proyecto, cuando se genera el coverage, entonces el reporte es visible y está analizado en un documento. CA4: Dado el documento de cobertura, cuando se revisa, entonces explica el alcance de las pruebas y sus resultados.",Pendiente,Pendiente,Equipo E2,Entregable del Sprint 10. Vitest + RTL + mocks + coverage.
HU68,EP10,Registrar un aporte para un pupilo mediante Webpay,Apoderado,Seleccionar un pupilo y pagar su saldo mediante transferencia bancaria electrónica,Acreditar el monto al pupilo correcto sin subir comprobantes manualmente,Alta,Sprint 11,"CA1: Dado un apoderado autenticado con pupilos vinculados, cuando accede al formulario de aporte, entonces el sistema muestra un selector visual con tarjetas de cada pupilo, indicando nombre completo y RUT enmascarado. CA2: Dado el selector visual, cuando el apoderado selecciona un pupilo, entonces el sistema registra internamente el RUT completo del pupilo como clave de asociación y lo muestra enmascarado en pantalla. CA3: Dado un pupilo seleccionado y un monto entero mayor que cero, cuando el apoderado confirma el aporte, entonces el sistema crea una transacción interna en estado PENDIENTE con un buy_order único, llama al API de Transbank para crear la transacción con ese buy_order y redirige al apoderado a la URL de Webpay. CA4: Dado que el apoderado completa el pago en Webpay y es redirigido de vuelta con un token_ws, cuando el backend recibe la petición, entonces llama a Transaction.commit(token) para confirmar la transacción. CA5: Dado que Transbank confirma la transacción con response_code igual a cero, cuando el backend recibe la respuesta, entonces verifica que el amount coincida con el monto registrado, marca la transacción interna como PROCESADA en una operación idempotente usando buy_order como clave única y acredita el saldo al pupilo asociado en una única transacción ACID. CA6: Dado que Transbank rechaza la transacción con response_code distinto de cero, cuando el backend recibe la respuesta, entonces la transacción interna queda en estado RECHAZADO y el saldo del pupilo no se modifica. CA7: Dado que el apoderado cierra el navegador antes de ser redirigido de vuelta, cuando transcurre el tiempo de expiración, entonces el job de conciliación de HU74 consulta el estado real con Transaction.status(token). CA8: Dado que el sistema recibe una confirmación duplicada con el mismo buy_order ya procesado, cuando intenta acreditar el saldo nuevamente, entonces la operación idempotente detecta el buy_order existente y responde sin modificar el saldo. CA9: Dado un retorno recibido con token inválido, cuando el backend intenta el commit, entonces Transbank rechaza la operación y el sistema registra el intento en un log de seguridad.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/aportar-saldo.html. Integración Webpay Transacción Completa API 1.2. Migra a E3 (Sprint 11).
HU69,EP10,Consultar el estado de mis aportes,Apoderado,Consultar el estado de las transferencias que registré,Saber si mi aporte ya fue acreditado al pupilo,Media,Sprint 11,"CA1: Dado un apoderado con aportes registrados, cuando accede a la vista de aportes, entonces los visualiza agrupados por pupilo. CA2: Dado un aporte del listado, cuando se muestra, entonces indica monto, fecha, buy_order y estado Pendiente, Pagado, Rechazado o Expirado. CA3: Dado un aporte rechazado, cuando el apoderado lo consulta, entonces visualiza el código de respuesta de la pasarela. CA4: Dado un apoderado sin aportes registrados, cuando accede a la vista, entonces el sistema informa el estado vacío y ofrece registrar uno.",Pendiente,Pendiente,Florencia Soto,pages/apoderado/mis-aportes.html. Migra a E3 (Sprint 11).
HU74,EP10,Conciliar transacciones pendientes con Transbank,Administrador,Que el sistema concilie automáticamente las transacciones pendientes con Transbank,Acreditar aportes que quedaron huérfanos por cierre del navegador,Media,Sprint 11,"CA1: Dado un job programado, cuando se ejecuta cada 5 minutos, entonces consulta las transacciones internas en estado PENDIENTE con más de 10 minutos de antigüedad. CA2: Dado una transacción pendiente, cuando el job la procesa, entonces llama a Transaction.status(token) para verificar su estado real en Transbank. CA3: Dado que Transbank reporta la transacción como aprobada, cuando el job recibe la respuesta, entonces verifica el amount, marca la transacción como PROCESADA y acredita el saldo al pupilo en una operación transaccional idempotente. CA4: Dado que Transbank reporta la transacción como rechazada o expirada, cuando el job recibe la respuesta, entonces actualiza el estado interno sin modificar el saldo. CA5: Dado un job que se ejecuta concurrentemente en más de una instancia, cuando procesa la misma transacción, entonces la restricción única sobre buy_order impide la doble acreditación.",Pendiente,Pendiente,Florencia Soto,Job backend. Requiere @Scheduled en Spring Boot. Migra a E3 (Sprint 11).
HU73,EP10,Restringir el acceso a datos de pupilos ajenos,Apoderado,Que el sistema solo me permita consultar datos de mis pupilos vinculados,Cumplir con la protección de datos personales,Alta,Sprint 12,"CA1: Dado un apoderado autenticado, cuando accede al selector de pupilos, entonces solo visualiza los pupilos cuyo apoderado_rut coincide con el suyo. CA2: Dado un apoderado autenticado, cuando envía una petición a /api/pupilos/{id}/saldo con el ID de un pupilo no vinculado, entonces el servidor responde con HTTP 403. CA3: Dado un apoderado autenticado, cuando envía una petición a /api/pupilos/{id}/movimientos con el ID de un pupilo no vinculado, entonces el servidor responde con HTTP 403. CA4: Dado un listado de pupilos o movimientos, cuando se muestran en pantalla, entonces los RUT aparecen enmascarados con formato parcial. CA5: Dado un intento de acceso no autorizado, cuando el servidor lo rechaza, entonces registra el evento en un log de seguridad con RUT del solicitante, endpoint y timestamp.",Pendiente,Pendiente,Florencia Soto,"Transversal a todas las vistas del apoderado. Ley 21.719. Migra a E3 (Sprint 12, Spring Security)."
